iter	RMSE
0	1.271021232
1	1.233573946
2	1.197076053
3	1.164711497
4	1.133533127
5	1.104638712
6	1.076949074
7	1.051479164
8	1.028182093
9	1.006061272
10	0.9859074701
11	0.9669636496
12	0.9495853094
13	0.9315384996
14	0.9166201449
15	0.9012168548
16	0.8874938389
17	0.8743653219
18	0.862603857
19	0.8513244741
20	0.8412496398
21	0.8315813055
22	0.8229647359
23	0.8151596505
24	0.807947394
25	0.8013717475
26	0.7952203492
27	0.7891580548
28	0.7840219413
29	0.7792932857
30	0.7748300532
31	0.7705079194
32	0.7664613385
33	0.7629276716
34	0.7595231916
35	0.7566487659
36	0.7538770362
37	0.7514091144
38	0.748893932
39	0.7464685312
40	0.7442355463
41	0.7421414771
42	0.7402159611
43	0.7384691919
44	0.7370031803
45	0.7352587205
46	0.7338595502
47	0.7321497161
48	0.7307301343
49	0.7295471525
50	0.7284311815
51	0.7272647485
52	0.7261134447
53	0.7242272037
54	0.7228836106
55	0.7219409468
56	0.7210094705
57	0.7197560916
58	0.7186222955
59	0.7178228824
60	0.7171549399
61	0.7165784719
62	0.7155835585
63	0.7143501039
64	0.7131551527
65	0.7122590743
66	0.7112166153
67	0.7103244618
68	0.7095472689
69	0.7086735257
70	0.7072409124
71	0.7063999022
72	0.705976845
73	0.7051552984
74	0.7046219107
75	0.7040968473
76	0.7028737837
77	0.7018123619
78	0.7014700313
79	0.7010807863
80	0.7006497171
81	0.6998156583
82	0.6993885938
83	0.698011787
84	0.6977543065
85	0.6970338603
86	0.6961907354
87	0.6955408693
88	0.6948538811
89	0.6939400651
90	0.6933018602
91	0.6926439145
92	0.6917620128
93	0.6909209294
94	0.6903147769
95	0.689782876
96	0.688761073
97	0.6883791736
98	0.6880888991
99	0.6869646815
100	0.6859474068
101	0.6853495107
102	0.6850667914
103	0.6841606904
104	0.6833946307
105	0.6830710301
106	0.682735022
107	0.6819705561
108	0.6805389639
109	0.6793062582
110	0.6787861062
111	0.6783842993
112	0.6781444044
113	0.6778775597
114	0.6776059035
115	0.6771545355
116	0.6760012395
117	0.6752437206
118	0.6747690271
119	0.6746171966
120	0.6736270743
121	0.673243042
122	0.673050413
123	0.6720691047
124	0.6712215631
125	0.6707206421
126	0.6698485129
127	0.6689839762
128	0.6687590448
129	0.6679422215
130	0.6675755269
131	0.6667904983
132	0.666468203
133	0.6660910546
134	0.6658522494
135	0.6651141789
136	0.6647481513
137	0.6643058479
138	0.6635280122
139	0.6632172185
140	0.6625567911
141	0.6618154556
142	0.6613474156
143	0.6606760857
144	0.6604589823
145	0.6599395889
146	0.6596496124
147	0.6593853184
148	0.6587958343
149	0.6582721812
150	0.6580088923
151	0.6574519922
152	0.6570528302
153	0.656446659
154	0.6562965391
155	0.6561125359
156	0.655861616
157	0.6556747028
158	0.6553485702
159	0.655201203
160	0.65454693
161	0.6541967063
162	0.6537301323
163	0.6536064308
164	0.6531794963
165	0.652839805
166	0.6524287931
167	0.652051152
168	0.6516049135
169	0.6511926811
170	0.6508141499
171	0.6502148206
172	0.6499101359
173	0.6497557196
174	0.6491508054
175	0.6487812966
176	0.6483713652
177	0.648078653
178	0.6477292855
179	0.6474905271
180	0.6472089218
181	0.6466733369
182	0.6464089465
183	0.6460044249
184	0.6458039684
185	0.6455726953
186	0.6450723525
187	0.6448009866
188	0.6447206767
189	0.6445700747
190	0.6440796685
191	0.6438347019
192	0.6435188323
193	0.6431669729
194	0.6426845708
195	0.6423904587
196	0.6421805721
197	0.6417522656
198	0.6414242022
199	0.6412613784
200	0.6408571455
201	0.6407528254
202	0.6404009625
203	0.6399575935
204	0.6397468821
205	0.6395668349
206	0.6392148122
207	0.6389748507
208	0.6386370036
209	0.6382927068
210	0.6380668104
211	0.6378095834
212	0.637712843
213	0.6375721413
214	0.6373127426
215	0.6369767687
216	0.6366828356
217	0.6363788333
218	0.6359545574
219	0.6356943725
220	0.635466002
221	0.6353918438
222	0.6351366714
223	0.6347401311
224	0.6345346889
225	0.6343570807
226	0.6342749317
227	0.6340310822
