iter	Passed	Remaining
0	143	143625
1	149	74406
2	156	52020
3	161	40136
4	170	33931
5	186	30915
6	192	27361
7	207	25720
8	248	27370
9	264	26187
10	279	25123
11	296	24379
12	317	24128
13	332	23432
14	356	23405
15	398	24515
16	416	24101
17	461	25203
18	469	24241
19	478	23449
20	495	23122
21	513	22812
22	530	22540
23	549	22347
24	571	22282
25	598	22428
26	632	22797
27	663	23025
28	673	22562
29	695	22498
30	730	22822
31	751	22731
32	760	22295
33	776	22073
34	800	22083
35	832	22294
36	846	22034
37	864	21873
38	878	21643
39	891	21405
40	905	21174
41	921	21008
42	935	20811
43	949	20638
44	963	20449
45	977	20282
46	993	20151
47	1013	20104
48	1040	20187
49	1047	19905
50	1063	19780
51	1075	19607
52	1083	19360
53	1096	19213
54	1116	19189
55	1131	19078
56	1143	18914
57	1163	18891
58	1181	18849
59	1199	18797
60	1214	18702
61	1227	18569
62	1243	18490
63	1257	18397
64	1274	18336
65	1289	18253
66	1301	18126
67	1311	17979
68	1330	17953
69	1344	17862
70	1370	17937
71	1398	18022
72	1414	17964
73	1439	18007
74	1457	17969
75	1472	17901
76	1482	17775
77	1490	17623
78	1507	17576
79	1533	17632
80	1558	17685
81	1592	17827
82	1616	17861
83	1633	17817
84	1656	17836
85	1676	17815
86	1705	17894
87	1729	17925
88	1744	17853
89	1769	17892
90	1791	17893
91	1799	17762
92	1825	17805
93	1841	17749
94	1856	17683
95	1861	17529
96	1876	17470
97	1892	17422
98	1909	17380
99	1923	17309
100	1942	17288
101	1965	17308
102	1979	17242
103	1989	17140
104	1995	17009
105	2003	16899
106	2013	16802
107	2024	16718
108	2030	16596
109	2043	16534
110	2054	16454
111	2063	16364
112	2076	16297
113	2091	16253
114	2106	16208
115	2120	16157
116	2135	16117
117	2142	16010
118	2149	15913
119	2154	15800
120	2169	15760
121	2177	15668
122	2186	15589
123	2201	15553
124	2215	15509
125	2239	15535
126	2250	15470
127	2274	15495
128	2325	15698
129	2338	15647
130	2342	15538
131	2346	15430
132	2358	15375
133	2389	15445
134	2408	15434
135	2414	15342
136	2423	15266
137	2429	15172
138	2441	15123
139	2452	15065
140	2468	15037
141	2487	15030
142	2500	14986
143	2514	14948
144	2543	14997
145	2563	14994
146	2578	14962
147	2592	14925
148	2603	14870
149	2609	14786
150	2619	14725
151	2634	14699
152	2650	14673
153	2669	14666
154	2678	14601
155	2688	14542
156	2696	14481
157	2702	14402
158	2714	14360
159	2719	14275
160	2728	14219
161	2732	14136
162	2742	14080
163	2746	14000
164	2751	13926
165	2762	13877
166	2773	13834
167	2779	13766
168	2792	13730
169	2797	13656
170	2809	13619
171	2818	13568
172	2824	13500
173	2832	13447
174	2839	13384
175	2859	13389
176	2875	13370
177	2888	13337
178	2900	13301
179	2906	13239
180	2917	13200
181	2922	13135
182	2931	13088
183	2934	13016
184	2944	12972
185	2949	12906
186	2955	12849
187	2962	12794
188	2967	12734
189	2977	12692
190	2983	12635
191	2990	12583
192	2993	12517
193	2999	12462
194	3013	12440
195	3021	12393
196	3032	12359
197	3037	12304
198	3052	12288
199	3067	12268
200	3085	12264
201	3104	12262
202	3121	12254
203	3131	12217
204	3139	12174
205	3145	12122
206	3154	12085
207	3158	12028
208	3163	11974
209	3173	11937
210	3178	11884
211	3187	11846
212	3190	11788
213	3198	11746
214	3204	11700
215	3209	11650
216	3216	11604
217	3220	11552
218	3226	11506
219	3234	11468
220	3244	11436
221	3256	11410
222	3264	11372
223	3276	11349
224	3287	11322
225	3297	11293
226	3309	11269
227	3316	11228
228	3326	11200
229	3343	11191
230	3359	11184
231	3371	11160
232	3377	11117
233	3390	11098
234	3398	11064
235	3407	11029
236	3419	11008
237	3425	10965
238	3443	10965
239	3465	10972
240	3480	10962
241	3498	10958
242	3509	10932
243	3515	10891
244	3525	10862
245	3532	10826
246	3544	10805
247	3559	10793
248	3579	10795
249	3588	10765
250	3611	10777
251	3634	10788
252	3656	10796
253	3677	10801
254	3689	10777
255	3698	10748
256	3704	10710
257	3713	10679
258	3720	10643
259	3729	10613
260	3734	10573
261	3743	10545
262	3746	10500
263	3753	10463
264	3759	10427
265	3772	10410
266	3779	10375
267	3789	10351
268	3803	10336
269	3808	10296
270	3819	10274
271	3833	10261
272	3845	10241
273	3853	10209
274	3861	10181
275	3866	10142
276	3883	10136
277	3913	10163
278	3940	10182
279	3971	10212
280	4020	10286
281	4043	10294
282	4053	10269
283	4063	10244
284	4068	10207
285	4077	10178
286	4083	10144
287	4089	10109
288	4097	10081
289	4101	10040
290	4109	10012
291	4114	9975
292	4117	9935
293	4128	9913
294	4131	9873
295	4140	9847
